Date,Volume
2019-12-16,21296600
2019-12-17,15996100
2019-12-18,15443300
2019-12-19,17865900
2019-12-20,27672600
2019-12-23,23774700
2019-12-24,7089000
2019-12-26,17067500
2019-12-27,18134100
2019-12-30,21815500
2019-12-31,18170900
2020-01-02,30969400
2020-01-03,27518900
2020-01-06,21655300
2020-01-07,22139300
2020-01-08,26397300
2020-01-09,23547000
2020-01-10,21898500
2020-01-13,22756900
2020-01-14,24418100
2020-01-15,25742100
2020-01-16,18805000
2020-01-17,24325200
2020-01-21,21146300
2020-01-22,20736400
2020-01-23,26496100
2020-01-24,37436500
2020-01-27,42264400
2020-01-28,26731900
2020-01-29,28924500
2020-01-30,39568100
2020-01-31,52015800
2020-02-03,25408600
2020-02-04,30691200
2020-02-05,38534800
2020-02-06,22467100
2020-02-07,25884900
2020-02-10,21478900
2020-02-11,30198000
2020-02-12,24471300
2020-02-13,22773200
2020-02-14,23438500
2020-02-18,24394500
2020-02-19,22230500
2020-02-20,42604000
2020-02-21,66017200
2020-02-24,84522600
2020-02-25,97743000
2020-02-26,79537700
2020-02-27,121822600
2020-02-28,148173700
2020-03-02,112933900
2020-03-03,131953500
2020-03-04,73086200
2020-03-05,78705500
2020-03-06,89828400
2020-03-09,116424000
2020-03-10,100599200
2020-03-11,89168800
2020-03-12,137820700
2020-03-13,134882000
2020-03-16,92054400
2020-03-17,121257100
2020-03-18,114156300
2020-03-19,120896500
2020-03-20,118983900
2020-03-23,124639800
2020-03-24,94881800
2020-03-25,88754900
2020-03-26,79887600
2020-03-27,58845000
2020-03-30,49356900
2020-03-31,62659300
2020-04-01,53715400
2020-04-02,56465300
2020-04-03,47487600
2020-04-06,64763500
2020-04-07,69904500
2020-04-08,45940400
2020-04-09,68252600
2020-04-13,42853900
2020-04-14,63959600
2020-04-15,47036000
2020-04-16,64657400
2020-04-17,62863200
2020-04-20,38249100
2020-04-21,72932800
2020-04-22,40089100
2020-04-23,43278500
2020-04-24,34231900
2020-04-27,36451700
2020-04-28,46862800
2020-04-29,48716400
2020-04-30,43359500
2020-05-01,48795000
2020-05-04,32841000
2020-05-05,37783100
2020-05-06,36455200
2020-05-07,38624800
2020-05-08,31852300
2020-05-11,35714100
2020-05-12,41054100
2020-05-13,65521200
2020-05-14,51549300
2020-05-15,55747200
2020-05-18,42398100
2020-05-19,36237300
2020-05-20,37417000
2020-05-21,43642900
2020-05-22,28762400
2020-05-26,33055300
2020-05-27,55665600
2020-05-28,42784300
2020-05-29,50691800
2020-06-01,25776000
2020-06-02,33383400
2020-06-03,37228700
2020-06-04,38716100
2020-06-05,47365600
2020-06-08,32937300
2020-06-09,35046300
2020-06-10,58084400
2020-06-11,72919400
2020-06-12,72034800
2020-06-15,45307400
2020-06-16,48890100
2020-06-17,34749300
2020-06-18,30578600
2020-06-19,49422100
2020-06-22,24068700
2020-06-23,32767400
2020-06-24,46032400
2020-06-25,36940800
2020-06-26,52824600
2020-06-29,34377800
2020-06-30,38909200
2020-07-01,34689200
2020-07-02,31956500
2020-07-06,34589000
2020-07-07,36578200
2020-07-08,30426300
2020-07-09,40312900
2020-07-10,32885300
2020-07-13,64108100
2020-07-14,72230500
2020-07-15,54523900
2020-07-16,47594100
2020-07-17,35137900
2020-07-20,40610100
2020-07-21,43243800
2020-07-22,29865500
2020-07-23,51363500
2020-07-24,54054500
2020-07-27,36445700
2020-07-28,31302400
2020-07-29,27556900
2020-07-30,41774500
2020-07-31,53686300
2020-08-03,32081600
2020-08-04,24911300
2020-08-05,21612100
2020-08-06,28048200
2020-08-07,44969400
2020-08-10,35088400
2020-08-11,43104300
2020-08-12,38773400
2020-08-13,31895700
2020-08-14,30799500
2020-08-17,24803000
2020-08-18,23529500
2020-08-19,31999400
2020-08-20,27723400
2020-08-21,34748900
2020-08-24,36418500
2020-08-25,34866600
2020-08-26,42216700
2020-08-27,49482700
2020-08-28,28021000
2020-08-31,36321000
2020-09-01,36216200
2020-09-02,50836800
2020-09-03,110083300
2020-09-04,123959000
2020-09-08,99568600
2020-09-09,64837900
2020-09-10,69667500
2020-09-11,71809000
2020-09-14,38525200
2020-09-15,41849900
2020-09-16,42321000
2020-09-17,81570800
2020-09-18,86251100
2020-09-21,57168600
2020-09-22,41128900
2020-09-23,48837300
2020-09-24,70631700
2020-09-25,55242400
2020-09-28,58438300
2020-09-29,27050000
2020-09-30,49380800
2020-10-01,50020200
2020-10-02,75497400
2020-10-05,28184600
2020-10-06,49704200
2020-10-07,27539700
2020-10-08,25443300
2020-10-09,30201100
2020-10-12,79370700
2020-10-13,64240000
2020-10-14,36949100
2020-10-15,42514200
2020-10-16,40570700
2020-10-19,36756800
2020-10-20,32195400
2020-10-21,29306100
2020-10-22,32196200
2020-10-23,24658500
2020-10-26,38421100
2020-10-27,30559100
2020-10-28,53413500
2020-10-29,43246300
2020-10-30,65838300
2020-11-02,39987400
2020-11-03,43604100
2020-11-04,75728200
2020-11-05,52054200
2020-11-06,40959800
2020-11-09,86537100
2020-11-10,69024900
2020-11-11,36102900
2020-11-12,34414600
2020-11-13,24806900
2020-11-16,30168400
2020-11-17,21843500
2020-11-18,28069600
2020-11-19,22718400
2020-11-20,25907300
2020-11-23,26875600
2020-11-24,24516800
2020-11-25,23326800
2020-11-27,17163100
2020-11-30,27836200
2020-12-01,27521300
2020-12-02,23620000
2020-12-03,22828700
2020-12-04,19332100
2020-12-07,20851000
2020-12-08,18341500
2020-12-09,48839300
2020-12-10,27519500
2020-12-11,26760400
2020-12-14,28804800
2020-12-15,25709000
2020-12-16,25461900
2020-12-17,23730500
2020-12-18,41173400
2020-12-21,37095500
2020-12-22,26176300
2020-12-23,21201300
2020-12-24,16785000
2020-12-28,22497700
2020-12-29,25871900
2020-12-30,18138100
2020-12-31,21611400
2021-01-04,45305900
2021-01-05,29323400
2021-01-06,52809600
2021-01-07,30394800
2021-01-08,33955800
2021-01-11,32746400
2021-01-12,29266800
2021-01-13,22898400
2021-01-14,23500100
2021-01-15,35118700
2021-01-19,24537000
2021-01-20,30728100
2021-01-21,25130600
2021-01-22,21609400
2021-01-25,39080600
2021-01-26,25498100
2021-01-27,55264000
2021-01-28,42836300
2021-01-29,55259000
2021-02-01,35646000
2021-02-02,33930800
2021-02-03,24824500
2021-02-04,22350900
2021-02-05,22732000
2021-02-08,20462800
2021-02-09,17597500
2021-02-10,28068700
2021-02-11,22046100
2021-02-12,20346800
2021-02-16,27080800
