Date,Volume
2019-12-16,82749700
2019-12-17,61097700
2019-12-18,48133000
2019-12-19,85310500
2019-12-20,147142100
2019-12-23,52990000
2019-12-24,20270000
2019-12-26,30911200
2019-12-27,42528800
2019-12-30,49729100
2019-12-31,57077300
2020-01-02,59151200
2020-01-03,77709700
2020-01-06,55653900
2020-01-07,40496400
2020-01-08,68296000
2020-01-09,48473300
2020-01-10,53029300
2020-01-13,47086800
2020-01-14,62832800
2020-01-15,72056600
2020-01-16,54050300
2020-01-17,95846000
2020-01-21,77742400
2020-01-22,48914900
2020-01-23,51963000
2020-01-24,87578400
2020-01-27,84062500
2020-01-28,63834000
2020-01-29,53888900
2020-01-30,75491800
2020-01-31,113845600
2020-02-03,69083000
2020-02-04,62573200
2020-02-05,65951100
2020-02-06,50359700
2020-02-07,64139400
2020-02-10,42070000
2020-02-11,54864500
2020-02-12,43992700
2020-02-13,54501900
2020-02-14,64582200
2020-02-18,57226200
2020-02-19,48814700
2020-02-20,74163400
2020-02-21,113788200
2020-02-24,161088400
2020-02-25,218913200
2020-02-26,194773800
2020-02-27,284353500
2020-02-28,384975800
2020-03-02,238703600
2020-03-03,300139100
2020-03-04,176613400
2020-03-05,186366800
2020-03-06,228667200
2020-03-09,309417300
2020-03-10,276444100
2020-03-11,255316300
2020-03-12,392220700
2020-03-13,329566100
2020-03-16,297240000
2020-03-17,262070500
2020-03-18,327597100
2020-03-19,289322000
2020-03-20,347158800
2020-03-23,326025200
2020-03-24,235494500
2020-03-25,299430300
2020-03-26,257632800
2020-03-27,224341200
2020-03-30,171369500
2020-03-31,194881100
2020-04-01,189554600
2020-04-02,177660400
2020-04-03,135561200
2020-04-06,188061200
2020-04-07,201427200
2020-04-08,153774500
2020-04-09,189999200
2020-04-13,114839100
2020-04-14,134143400
2020-04-15,121775000
2020-04-16,131798300
2020-04-17,146684800
2020-04-20,100109300
2020-04-21,126385700
2020-04-22,92951600
2020-04-23,104709700
2020-04-24,85063200
2020-04-27,77896600
2020-04-28,105270000
2020-04-29,118745600
2020-04-30,122901700
2020-05-01,125180000
2020-05-04,80873200
2020-05-05,79569900
2020-05-06,73632600
2020-05-07,75250400
2020-05-08,76452400
2020-05-11,79514200
2020-05-12,95870800
2020-05-13,144721100
2020-05-14,121977900
2020-05-15,111146300
