Date,Volume
2019-12-16,3697
2019-12-17,2840
2019-12-18,1466
2019-12-19,1205409
2019-12-20,806749
2019-12-23,620132
2019-12-24,398672
2019-12-26,402206
2019-12-27,667285
2019-12-30,891503
2019-12-31,850930
2020-01-02,1250468
2020-01-03,1817748
2020-01-06,1666524
2020-01-07,1450885
2020-01-08,2993268
2020-01-09,1594105
2020-01-10,1369615
2020-01-13,1055289
2020-01-14,1421799
2020-01-15,1349774
2020-01-16,1373300
2020-01-17,1390519
2020-01-21,1664597
2020-01-22,1349211
2020-01-23,1938652
2020-01-24,2201734
2020-01-27,2434005
2020-01-28,2306819
2020-01-29,1757332
2020-01-30,2694207
2020-01-31,2664632
2020-02-03,2331880
2020-02-04,2200574
2020-02-05,2584163
2020-02-06,1858725
2020-02-07,2331670
2020-02-10,1689593
2020-02-11,1579786
2020-02-12,1700284
2020-02-13,2149666
2020-02-14,1496111
2020-02-18,1883347
2020-02-19,1663072
2020-02-20,2356919
2020-02-21,3397725
2020-02-24,4232656
2020-02-25,5598034
2020-02-26,4313431
2020-02-27,2733280
2020-02-28,275925
2020-03-02,85076
2020-03-03,60328
2020-03-04,43117
2020-03-05,22117
2020-03-06,12490
2020-03-09,6044
2020-03-10,4485
2020-03-11,5095
2020-03-12,2227
2020-03-13,805
2020-03-16,8394
2020-03-17,3026
2020-03-18,6960
2020-03-19,1639
2020-03-20,1686753
2020-03-23,1817511
2020-03-24,1401549
2020-03-25,1308534
2020-03-26,1294144
2020-03-27,1247294
2020-03-30,1259056
2020-03-31,1527275
2020-04-01,1342210
2020-04-02,1185789
2020-04-03,924986
2020-04-06,950207
2020-04-07,1441115
2020-04-08,1137637
2020-04-09,1195287
2020-04-13,596558
2020-04-14,1076610
2020-04-15,1331091
2020-04-16,1139525
2020-04-17,1365292
2020-04-20,741098
2020-04-21,1092690
2020-04-22,954669
2020-04-23,1105020
2020-04-24,757985
2020-04-27,881685
2020-04-28,989863
2020-04-29,1073167
2020-04-30,1533122
2020-05-01,870887
2020-05-04,916799
2020-05-05,962282
2020-05-06,1272785
2020-05-07,1313439
2020-05-08,1090304
2020-05-11,981624
2020-05-12,1228975
2020-05-13,1203530
2020-05-14,1097438
2020-05-15,1039716
2020-05-18,1274344
2020-05-19,1271689
2020-05-20,1199320
2020-05-21,1429655
2020-05-22,1390072
2020-05-26,3549623
2020-05-27,2558810
2020-05-28,1019614
2020-05-29,134842
2020-06-01,46926
2020-06-02,23513
2020-06-03,44824
2020-06-04,28105
2020-06-05,25910
2020-06-08,6176
2020-06-09,7702
2020-06-10,7073
2020-06-11,4907
2020-06-12,3221
2020-06-15,3925
2020-06-16,3365
2020-06-17,1644
2020-06-18,1086
2020-06-19,862061
2020-06-22,733415
2020-06-23,957624
2020-06-24,1001745
2020-06-25,1104239
2020-06-26,924291
2020-06-29,876658
2020-06-30,1240939
2020-07-01,1163129
2020-07-02,890404
2020-07-06,832208
2020-07-07,795282
2020-07-08,928752
2020-07-09,993559
2020-07-10,1029496
2020-07-13,774599
2020-07-14,902282
2020-07-15,789589
2020-07-16,629126
2020-07-17,566674
2020-07-20,531156
2020-07-21,614084
2020-07-22,647895
2020-07-23,661255
2020-07-24,704619
2020-07-27,748061
2020-07-28,855554
2020-07-29,785966
2020-07-30,717957
2020-07-31,1257506
2020-08-03,843977
2020-08-04,773099
2020-08-05,1020589
2020-08-06,883198
2020-08-07,889708
2020-08-10,678683
2020-08-11,1529185
2020-08-12,1494585
2020-08-13,1322300
2020-08-14,1105774
2020-08-17,1000368
2020-08-18,850229
2020-08-19,1032995
2020-08-20,980383
2020-08-21,994185
2020-08-24,1526307
2020-08-25,3003000
2020-08-26,2944270
2020-08-27,2405027
2020-08-28,899499
2020-08-31,87139
2020-09-01,66545
2020-09-02,29458
2020-09-03,31479
2020-09-04,7549
2020-09-08,7408
2020-09-09,3629
2020-09-10,2380
2020-09-11,2037
2020-09-14,5413
2020-09-15,3630
2020-09-16,4957
2020-09-17,1122
2020-09-18,8117
2020-09-21,997320
2020-09-22,816613
2020-09-23,980781
2020-09-24,1041394
2020-09-25,774189
2020-09-28,719441
2020-09-29,788134
2020-09-30,1728153
2020-10-01,1526426
2020-10-02,1444042
2020-10-05,1339887
2020-10-06,1619887
2020-10-07,1348929
2020-10-08,991733
2020-10-09,1004425
2020-10-12,195305
2020-10-13,1044436
2020-10-14,801761
2020-10-15,1146506
2020-10-16,928432
2020-10-19,1040956
2020-10-20,1249462
2020-10-21,1517057
2020-10-22,1390076
2020-10-23,1190049
2020-10-26,1168035
2020-10-27,968531
2020-10-28,1529111
2020-10-29,1974950
2020-10-30,2401470
2020-11-02,1439099
2020-11-03,1270460
2020-11-04,2883115
2020-11-05,1657504
2020-11-06,1489220
2020-11-09,2778418
2020-11-10,2068812
2020-11-11,553673
2020-11-12,1742283
2020-11-13,993902
2020-11-16,1254900
2020-11-17,1329088
2020-11-18,1486514
2020-11-19,1522705
2020-11-20,1541844
2020-11-23,2573621
2020-11-24,3331076
2020-11-25,1841962
2020-11-27,447966
2020-11-30,117387
2020-12-01,79789
2020-12-02,53778
2020-12-03,24033
2020-12-04,11150
2020-12-07,9950
2020-12-08,8635
2020-12-09,3736
2020-12-10,4238
2020-12-11,2020
2020-12-14,9401
2020-12-15,7781
2020-12-16,1538
2020-12-17,1971
2020-12-18,4874
2020-12-21,1279412
2020-12-22,795131
2020-12-23,1094067
2020-12-24,256470
2020-12-28,610234
2020-12-29,775267
2020-12-30,741740
2020-12-31,852085
2021-01-04,1324874
2021-01-05,1316963
2021-01-06,2672939
2021-01-07,1719014
2021-01-08,2385260
2021-01-11,1552850
2021-01-12,2097810
2021-01-13,1877583
2021-01-14,1704013
2021-01-15,1385980
2021-01-19,1497258
2021-01-20,1255751
2021-01-21,1359281
2021-01-22,1289159
2021-01-25,1404902
2021-01-26,1121552
2021-01-27,1667733
2021-01-28,2184019
2021-01-29,2708254
2021-02-01,1192644
2021-02-02,1221784
2021-02-03,1400220
2021-02-04,1424723
2021-02-05,2306009
2021-02-08,1342801
2021-02-09,1232418
2021-02-10,1584234
2021-02-11,1368706
2021-02-12,1558315
2021-02-16,3257558
2021-02-17,3256049
2021-02-18,2072926
2021-02-19,2898170
2021-02-22,3751139
2021-02-23,4343895
2021-02-24,3620025
2021-02-25,2008086
2021-02-26,190738
2021-03-01,34642
2021-03-02,19829
2021-03-03,13338
2021-03-04,19162
2021-03-05,9767
2021-03-08,16804
2021-03-09,2399
2021-03-10,3636
2021-03-11,14660
2021-03-12,9884
2021-03-15,4168
2021-03-16,2019
2021-03-17,5391
2021-03-18,1718
2021-03-19,10739
2021-03-22,1302317
2021-03-23,1562826
2021-03-24,1694888
2021-03-25,2049220
2021-03-26,1486510
2021-03-29,1450487
2021-03-30,1894739
2021-03-31,2350602
2021-04-01,1587843
2021-04-05,919100
2021-04-06,1385977
2021-04-07,1409520
2021-04-08,1171916
2021-04-09,1570458
2021-04-12,1179342
2021-04-13,1747605
2021-04-14,1339839
2021-04-15,2236329
2021-04-16,1487904
2021-04-19,1211489
2021-04-20,1414513
2021-04-21,1264344
2021-04-22,1465180
2021-04-23,1165827
2021-04-26,1351777
2021-04-27,1418589
2021-04-28,1705772
2021-04-29,1634108
2021-04-30,2003114
